,area,location,point,lat,long,z
10035,"EDSA Kamuning F/O SB, Philippines","GMA Kamuning Station, 32 Samar Ave, Diliman, Quezon City, 1103 Metro Manila, Philippines","(14.6352168, 121.0433426, 0.0)",14.6352168,121.0433426,0.0
10036,"EDSA Ayala MRT SB, Philippines","Ayala, Station Dr, Makati, Metro Manila, Philippines","(14.5491906, 121.0279696, 0.0)",14.5491906,121.0279696,0.0
10037,"EDSA Santolan MRT SB, Philippines","Santolan-Annapolis, Epifanio de los Santos Ave, Quezon City, Metro Manila, Philippines","(14.6078175, 121.0564144, 0.0)",14.6078175,121.0564144,0.0
10038,"North Ave. infront Dept. of Agriculture WB, Philippines",,,,,
10039,"EDSA Ayala SB, Philippines","Ayala, Station Dr, Makati, Metro Manila, Philippines","(14.5491906, 121.0279696, 0.0)",14.5491906,121.0279696,0.0
10040,"EDSA Arayat SB, Philippines","#40 Raylor Bldg Edsa cor, P. A. Bernardo, Cubao, Quezon City, Metro Manila, Philippines","(14.6193761, 121.0506049, 0.0)",14.6193761,121.0506049,0.0
10041,"EDSA Whiteplains NB, Philippines","Ortigas Ave, Ortigas Center, Quezon City, Metro Manila, Philippines","(14.5910279, 121.0603914, 0.0)",14.5910279,121.0603914,0.0
10043,"Elliptical Commonwealth EB, Philippines",,,,,
10044,"Roxas Blvd. Katigbak NB, Philippines","Roxas Blvd, Metro Manila, Philippines","(14.5514161, 120.9897107, 0.0)",14.5514161,120.9897107,0.0
10045,"EDSA Highway 54 SB, Philippines","54 Epifanio de los Santos Ave, Makati, Metro Manila, Philippines","(14.5389959, 121.0114418, 0.0)",14.5389959,121.0114418,0.0
10049,"EDSA Highway 54 Mall SB, Philippines","EDSA, corner Doña Julia Vargas Ave, Ortigas Center, Mandaluyong, 1555 Metro Manila, Philippines","(14.5846851, 121.0573023, 0.0)",14.5846851,121.0573023,0.0
10050,"Sales Villamor SB, Philippines","Mata street, Barangay 183, Villamor, Pasay City, Andrews Ave, Pasay, 1309 Kalakhang Maynila, Philippines","(14.5251929, 121.0125611, 0.0)",14.5251929,121.0125611,0.0
10051,"EDSA P. Tuazon Ave. NB, Philippines","Gateway Tower, Cubao, Quezon City, 0810 Metro Manila, Philippines","(14.620756, 121.0529557, 0.0)",14.620756,121.0529557,0.0
10052,"EDSA Ortigas Flyover Split NB, Philippines","1 Garden Way, Ortigas Center, Mandaluyong, 1550 Metro Manila, Philippines","(14.5813906, 121.0570799, 0.0)",14.5813906,121.0570799,0.0
10054,"Marcos Highway SM Marikina WB, Philippines","Marikina-Infanta Hwy, Marikina, 1801 Metro Manila, Philippines","(14.6259836, 121.0837404, 0.0)",14.6259836,121.0837404,0.0
10057,"C5 Libis tunnel NB, Philippines","C-5, Metro Manila, Philippines","(14.5588814, 121.0649006, 0.0)",14.5588814,121.0649006,0.0
10058,"C5 Market-Market NB, Philippines","McKinley Pkwy, Taguig, 1630 Metro Manila, Philippines","(14.5491314, 121.0558947, 0.0)",14.5491314,121.0558947,0.0
10059,"EDSA Timog SB, Philippines","GMA International, 10F GMA Network Center, EDSA cor, Timog Ave, Diliman, Quezon City, 1103 Metro Manila, Philippines","(14.6332902, 121.0438737, 0.0)",14.6332902,121.0438737,0.0
10060,"EDSA Buendia SB, Philippines","G/F SM Cyber Two Bldg., EDSA Buendia, Makati, 1226 Metro Manila, Philippines","(14.5561598, 121.0342554, 0.0)",14.5561598,121.0342554,0.0
10061,"EDSA Timog SB, Philippines","GMA International, 10F GMA Network Center, EDSA cor, Timog Ave, Diliman, Quezon City, 1103 Metro Manila, Philippines","(14.6332902, 121.0438737, 0.0)",14.6332902,121.0438737,0.0
10062,"EDSA Whiteplains NB, Philippines","Ortigas Ave, Ortigas Center, Quezon City, Metro Manila, Philippines","(14.5910279, 121.0603914, 0.0)",14.5910279,121.0603914,0.0
10063,"EDSA Magallanes NB, Philippines","Ortigas Ave, Ortigas Center, Quezon City, Metro Manila, Philippines","(14.5910279, 121.0603914, 0.0)",14.5910279,121.0603914,0.0
10064,"C5 Bagong Ilog F/O SB, Philippines","C-5, Pasig, Metro Manila, Philippines","(14.5643396, 121.0696684, 0.0)",14.5643396,121.0696684,0.0
10065,"EDSA Whiteplains NB, Philippines","Ortigas Ave, Ortigas Center, Quezon City, Metro Manila, Philippines","(14.5910279, 121.0603914, 0.0)",14.5910279,121.0603914,0.0
10066,"EDSA Magallanes NB, Philippines","Ortigas Ave, Ortigas Center, Quezon City, Metro Manila, Philippines","(14.5910279, 121.0603914, 0.0)",14.5910279,121.0603914,0.0
10067,"C5 Bagomg Ilog F/O SB, Philippines","C-5, Pasig, Metro Manila, Philippines","(14.5643396, 121.0696684, 0.0)",14.5643396,121.0696684,0.0
10069,"EDSA Estrella SB, Philippines","Epifanio de los Santos Avenue & Estrella, Makati, Metro Manila, Philippines","(14.5599457, 121.0406986, 0.0)",14.5599457,121.0406986,0.0
10070,"EDSA Reliance  SB, Philippines","EDSA cor. Reliance St., Brgy, Mandaluyong, Metro Manila, Philippines","(14.5767528, 121.0517717, 0.0)",14.5767528,121.0517717,0.0
10072,"Mindanao Ave. front of BJMP SB, Philippines","144 Mindanao Avenue, Project 8, Quezon City, 1106 Metro Manila, Philippines","(14.6693141, 121.0323609, 0.0)",14.6693141,121.0323609,0.0
10074,"EDSA Ayala Intersection NB, Philippines","Ayala, Station Dr, Makati, Metro Manila, Philippines","(14.5491906, 121.0279696, 0.0)",14.5491906,121.0279696,0.0
10075,"Timog ave. cor. 11th Jamboree SB, Philippines","Timog Ave, Diliman, Quezon City, Metro Manila, Philippines","(14.6348409, 121.0353466, 0.0)",14.6348409,121.0353466,0.0
10076,"EDSA Santolan Flyover SB, Philippines","Santolan-annapolis, Epifanio de los Santos Ave, San Juan, 1502 Kalakhang Maynila, Philippines","(14.607331, 121.05643, 0.0)",14.607331,121.05643,0.0
10078,"EDSA Aurora WB, Philippines","EDSA Aurora Blvd Tunnel, 655 Epifanio de los Santos Ave, Cubao, Quezon City, 1111 Metro Manila, Philippines","(14.6215316, 121.0501176, 0.0)",14.6215316,121.0501176,0.0
10079,"EDSA Guadalupe SB, Philippines","Tan Hock Bldg. Edsa, Cor P.Burgos, St, Makati, Kalakhang Maynila, Philippines","(14.5652663, 121.0453941, 0.0)",14.5652663,121.0453941,0.0
10082,"EDSA Main Ave. SB, Philippines","37 EDSA corner Boni Avenue, 37 Epifanio de los Santos Ave, Mandaluyong, 1550 Metro Manila, Philippines","(14.5721142, 121.0468128, 0.0)",14.5721142,121.0468128,0.0
10086,"EDSA Aurora NB, Philippines","EDSA Aurora Blvd Tunnel, 655 Epifanio de los Santos Ave, Cubao, Quezon City, 1111 Metro Manila, Philippines","(14.6215316, 121.0501176, 0.0)",14.6215316,121.0501176,0.0
10087,"EDSA MRT Ortigas SB, Philippines","Ortigas, Mandaluyong, Metro Manila, Philippines","(14.5878494, 121.0567228, 0.0)",14.5878494,121.0567228,0.0
10089,"Mindanao Wilcon NB, Philippines","Gen. Douglas MacArthur Hwy, Talomo, Davao City, Davao del Norte, Philippines","(7.0585644, 125.5809295, 0.0)",7.0585644,125.5809295,0.0
10092,"Katipunan CP Garcia SB, Philippines","Unit 2 TBI, U.P. Ayala Technology Park C.P. Garcia, corner Katipunan Ave, Diliman, Quezon City, 1101 Metro Manila, Philippines","(14.6477889, 121.0732612, 0.0)",14.6477889,121.0732612,0.0
10096,"EDSA Connecticut SB, Philippines","Ground Floor, The Medical City, Waltermart North Edsa, Epifanio Delos Santos Avenue, Veterans Village, Muñoz, Project 7, Quezon City, 1105 Metro Manila, Philippines","(14.6562036, 121.0214654, 0.0)",14.6562036,121.0214654,0.0
10097,"Katipunan C.P Garcia NB, Philippines","Unit 2 TBI, U.P. Ayala Technology Park C.P. Garcia, corner Katipunan Ave, Diliman, Quezon City, 1101 Metro Manila, Philippines","(14.6477889, 121.0732612, 0.0)",14.6477889,121.0732612,0.0
10098,"Commonwealth Tandang sora WB, Philippines","Kalayaan St, Tandang Sora, Quezon City, 1107 Metro Manila, Philippines","(14.689559, 121.0508122, 0.0)",14.689559,121.0508122,0.0
10100,"EDSA Q. Mart NB, Philippines","121 Ermin Garcia Ave, Quezon City, 1102 Metro Manila, Philippines","(14.6279679, 121.0483563, 0.0)",14.6279679,121.0483563,0.0
10101,"EDSA Shaw Blvd. tunnel NB, Philippines","Shaw Boulevard, Ortigas Center, Mandaluyong, Metro Manila, Philippines","(14.5812485, 121.0536577, 0.0)",14.5812485,121.0536577,0.0
10102,"EDSA Balintawak NB, Philippines","Ortigas Ave, Ortigas Center, Quezon City, Metro Manila, Philippines","(14.5910279, 121.0603914, 0.0)",14.5910279,121.0603914,0.0
10103,"EDSA Roosevelt SB, Philippines","Roosevelt Station, 1039 Epifanio de los Santos Ave, Bago Bantay, Quezon City, 1105 Metro Manila, Philippines","(14.6576046, 121.0211008, 0.0)",14.6576046,121.0211008,0.0
10104,"McArthur Highway Potrero NB, Philippines","Mc Arthur Highway MacArthur Highway, Potrero, Malabon, Metro Manila, Philippines","(14.6690089, 120.9818424, 0.0)",14.6690089,120.9818424,0.0
10108,"EDSA Boni Madison NB, Philippines","EDSA corner Madison St. Barangay Barangka Ilaya Tower 3, 43rd floor, Mandaluyong, 1550 Metro Manila, Philippines","(14.5746526, 121.0489686, 0.0)",14.5746526,121.0489686,0.0
10110,"EDSA Ortigas flyover NB, Philippines","Ortigas Ave, Ortigas Center, Quezon City, Metro Manila, Philippines","(14.5910279, 121.0603914, 0.0)",14.5910279,121.0603914,0.0
10111,"EDSA Megamall NB, Philippines","Ortigas Ave, Ortigas Center, Quezon City, Metro Manila, Philippines","(14.5910279, 121.0603914, 0.0)",14.5910279,121.0603914,0.0
10112,"EDSA P. Tuazon NB, Philippines","EDSA cor, P. Tuazon Blvd, Cubao, Lungsod Quezon, 1109 Kalakhang Maynila, Philippines","(14.6161275, 121.0522983, 0.0)",14.6161275,121.0522983,0.0
10116,"Concordia bridge WB, Philippines",,,,,
10117,"EDSA Hiway 54 SB, Philippines","Highway 54, Epifanio de los Santos Ave, Mandaluyong, Metro Manila, Philippines","(14.5846647, 121.055278, 0.0)",14.5846647,121.055278,0.0
10118,"EDSA Buendia NB, Philippines","United Nations Ave, Ermita, Manila, 1000 Metro Manila, Philippines","(14.5814595, 120.9836439, 0.0)",14.5814595,120.9836439,0.0
10119,"Ortigas Santolan WB, Philippines","26th Floor, One Global Place, 25th St, Taguig, 1634 Kalakhang Maynila, Philippines","(14.5483194, 121.0470468, 0.0)",14.5483194,121.0470468,0.0
10121,"EDSA Megamall NB, Philippines","Ortigas Ave, Ortigas Center, Quezon City, Metro Manila, Philippines","(14.5910279, 121.0603914, 0.0)",14.5910279,121.0603914,0.0
10123,"EDSA Starmall SB, Philippines","Harvard, Mandaluyong, Metro Manila, Philippines","(14.5822941, 121.0529863, 0.0)",14.5822941,121.0529863,0.0
10124,"EDSA Central NB, Philippines","United Nations Ave, Ermita, Manila, 1000 Metro Manila, Philippines","(14.5814595, 120.9836439, 0.0)",14.5814595,120.9836439,0.0
10125,"Ma.Orosa Katigbak SB, Philippines","14 Jupiter, Makati, 1200 Metro Manila, Philippines","(14.5572476, 121.0341494, 0.0)",14.5572476,121.0341494,0.0
10127,"Commonwealth Malvar WB, Philippines",,,,,
10128,"EDSA Trinoma NB, Philippines","Unit 21 H LGF SM City Center, SM City North EDSA, North Avenue corner EDSA Lower Ground Floor Near the FoodCourt and SM Appliance, Bagong Pag-asa, Quezon City, 1105 Metro Manila, Philippines","(14.6566478, 121.0314804, 0.0)",14.6566478,121.0314804,0.0
10129,"Aurora Katipunan WB, Philippines","Katipunan, Aurora Blvd, Project 4, Quezon City, Metro Manila, Philippines","(14.6307723, 121.0727009, 0.0)",14.6307723,121.0727009,0.0
10133,"EDSA Magallanes NB, Philippines","Ortigas Ave, Ortigas Center, Quezon City, Metro Manila, Philippines","(14.5910279, 121.0603914, 0.0)",14.5910279,121.0603914,0.0
10134,"Bonifacio Drive Manila Hotel SB, Philippines","1 Rizal Park, Ermita, Manila, 0913 Metro Manila, Philippines","(14.5834304, 120.9741096, 0.0)",14.5834304,120.9741096,0.0
10135,"EDSA LRT Balintawak NB, Philippines","Balintawak, 1179 Epifanio de los Santos Ave, Balintawak, Quezon City, Metro Manila, Philippines","(14.6574375, 121.0038748, 0.0)",14.6574375,121.0038748,0.0
10136,"Aurora Katipunan F/O SB, Philippines","Loyola Heights, Quezon City, Metro Manila, Philippines","(14.6406248, 121.0765048, 0.0)",14.6406248,121.0765048,0.0
10138,"Roxas Blvd. Buendia NB, Philippines","Corner Roxas Blvd, Buendia Ave, Pasay, Metro Manila, Philippines","(14.5518903, 120.9901231, 0.0)",14.5518903,120.9901231,0.0
10139,"Elliptical cor. East Ave. EB, Philippines",,,,,
10142,"EDSA Arayat NB, Philippines","Ortigas Ave, Ortigas Center, Quezon City, Metro Manila, Philippines","(14.5910279, 121.0603914, 0.0)",14.5910279,121.0603914,0.0
10143,"EDSA Arayat NB, Philippines","Ortigas Ave, Ortigas Center, Quezon City, Metro Manila, Philippines","(14.5910279, 121.0603914, 0.0)",14.5910279,121.0603914,0.0
10144,"Quezon ave. Sct. Borromeo EB, Philippines","Quezon Avenue, corner Scout Borromeo St, Diliman, Quezon City, Metro Manila, Philippines","(14.6396114, 121.030797, 0.0)",14.6396114,121.030797,0.0
10145,"EDSA Ayala service road NB, Philippines","Epifanio de los Santos Ave, Metro Manila, Philippines","(14.5766435, 121.0501616, 0.0)",14.5766435,121.0501616,0.0
10146,"C5 Greenmeadows SB, Philippines","Green Meadows Ave, Pasig City, Manila, Metro Manila, Philippines","(14.5981138, 121.0750737, 0.0)",14.5981138,121.0750737,0.0
10147,"EDSA Santolan SB, Philippines","Ground Floor, Vertis North Mall, EDSA cor, North Ave, Bagong Pag-asa, Quezon City, 1104 Metro Manila, Philippines","(14.6564091, 121.0337515, 0.0)",14.6564091,121.0337515,0.0
10148,"EDSA Santolan SB, Philippines","Ground Floor, Vertis North Mall, EDSA cor, North Ave, Bagong Pag-asa, Quezon City, 1104 Metro Manila, Philippines","(14.6564091, 121.0337515, 0.0)",14.6564091,121.0337515,0.0
10149,"EDSA MRT Boni SB, Philippines","Boni Ave, Mandaluyong, Metro Manila, Philippines","(14.5737139, 121.0481539, 0.0)",14.5737139,121.0481539,0.0
10151,"EDSA Guadalupe Bridge NB, Philippines","Epifanio de los Santos Ave, Metro Manila, Philippines","(14.5766435, 121.0501616, 0.0)",14.5766435,121.0501616,0.0
10152,"EDSA Ayala SB, Philippines","Ayala, Station Dr, Makati, Metro Manila, Philippines","(14.5491906, 121.0279696, 0.0)",14.5491906,121.0279696,0.0
10154,"EDSA Santolan intersection NB, Philippines","Santolan-annapolis, Epifanio de los Santos Ave, San Juan, 1502 Kalakhang Maynila, Philippines","(14.607331, 121.05643, 0.0)",14.607331,121.05643,0.0
10157,"Marcos highway Semicon EB, Philippines","50 Marcos Highway, Semicon Corporate Building, Pasig City, 1611, Pasig, 1800 Metro Manila, Philippines","(14.6197187, 121.0959429, 0.0)",14.6197187,121.0959429,0.0
10158,"C5 Ortigas F/O SB, Philippines","C-5, Metro Manila, Philippines","(14.5588814, 121.0649006, 0.0)",14.5588814,121.0649006,0.0
10160,"C5 Libis SB, Philippines","C-5, Metro Manila, Philippines","(14.5588814, 121.0649006, 0.0)",14.5588814,121.0649006,0.0
10161,"Roxas Buendia Tramway NB , Philippines","1600 Roxas Blvd, Malate, Manila, Metro Manila, Philippines","(14.5572096, 120.9884224, 0.0)",14.5572096,120.9884224,0.0
10163,"Aurora Blvd. EB , Philippines","938 Aurora Blvd, Cubao, Quezon City, 1109 Metro Manila, Philippines","(14.6266259, 121.0614968, 0.0)",14.6266259,121.0614968,0.0
10168,"EDSA Magallanes SB, Philippines","Magallanes Station, Epifanio de los Santos Ave, Makati, Metro Manila, Philippines","(14.5420229, 121.0194852, 0.0)",14.5420229,121.0194852,0.0
10170,"EDSA Approaching Santolan Flyover NB, Philippines",,,,,
10171,"EDSA Guadalupe NB, Philippines","2195 Epifanio de los Santos Ave, Makati, 1554 Metro Manila, Philippines","(14.5644828, 121.0451481, 0.0)",14.5644828,121.0451481,0.0
10172,"EDSA Ortigas F/O SB, Philippines","Local 336-338 Edsa corner, Epifanio de los Santos Avenue, Shaw Boulevard, Ortigas Center, Mandaluyong, 1552 Metro Manila, Philippines","(14.5817664, 121.0548896, 0.0)",14.5817664,121.0548896,0.0
10173,"EDSA MRT Ortigas NB, Philippines","Ortigas, Mandaluyong, Metro Manila, Philippines","(14.5878494, 121.0567228, 0.0)",14.5878494,121.0567228,0.0
10174,"Roxas Katigbak SB, Philippines",,,,,
10176,"EDSA Santolan Split NB, Philippines","United Nations Ave, Ermita, Manila, 1000 Metro Manila, Philippines","(14.5814595, 120.9836439, 0.0)",14.5814595,120.9836439,0.0
10177,"EDSA Guadalupe NB, Philippines","2195 Epifanio de los Santos Ave, Makati, 1554 Metro Manila, Philippines","(14.5644828, 121.0451481, 0.0)",14.5644828,121.0451481,0.0
10178,"C5 Julia Vargas SB, Philippines","Shell Gas Station, C5 Road corner, Doña Julia Vargas Ave, Pasig, Metro Manila, Philippines","(14.5832868, 121.0745847, 0.0)",14.5832868,121.0745847,0.0
10179,"C5 Julia Vargas SB, Philippines","Shell Gas Station, C5 Road corner, Doña Julia Vargas Ave, Pasig, Metro Manila, Philippines","(14.5832868, 121.0745847, 0.0)",14.5832868,121.0745847,0.0
10180,"Commonwealth St. Peter WB, Philippines","Commonwealth Ave, Matandang Balara, Quezon City, 1119 Metro Manila, Philippines","(14.662917, 121.067715, 0.0)",14.662917,121.067715,0.0
10181,"EDSA Ortigas NB, Philippines","Ortigas Ave, Ortigas Center, Quezon City, Metro Manila, Philippines","(14.5910279, 121.0603914, 0.0)",14.5910279,121.0603914,0.0
10182,"C5 Greenmeadows SB, Philippines","Green Meadows Ave, Pasig City, Manila, Metro Manila, Philippines","(14.5981138, 121.0750737, 0.0)",14.5981138,121.0750737,0.0
10183,"EDSA Santolan f/o NB, Philippines","Santolan-annapolis, Epifanio de los Santos Ave, San Juan, 1502 Kalakhang Maynila, Philippines","(14.607331, 121.05643, 0.0)",14.607331,121.05643,0.0
10184,"EDSA Timog SB, Philippines","GMA International, 10F GMA Network Center, EDSA cor, Timog Ave, Diliman, Quezon City, 1103 Metro Manila, Philippines","(14.6332902, 121.0438737, 0.0)",14.6332902,121.0438737,0.0
10185,"EDSA Santolan f/o SB, Philippines","Santolan-annapolis, Epifanio de los Santos Ave, San Juan, 1502 Kalakhang Maynila, Philippines","(14.607331, 121.05643, 0.0)",14.607331,121.05643,0.0
10186,"EDSA Starmall SB, Philippines","Harvard, Mandaluyong, Metro Manila, Philippines","(14.5822941, 121.0529863, 0.0)",14.5822941,121.0529863,0.0
10187,"Nichols Sales Interchange NB, Philippines","Nichols, R-3, Taguig, Metro Manila, Philippines","(14.5234714, 121.026284, 0.0)",14.5234714,121.026284,0.0
10188,"EDSA Guadalupe NB, Philippines","2195 Epifanio de los Santos Ave, Makati, 1554 Metro Manila, Philippines","(14.5644828, 121.0451481, 0.0)",14.5644828,121.0451481,0.0
10190,"EDSA Rockwell SB, Philippines","2/F Pavilion Greenfield District, Mandaluyong, 1552 Metro Manila, Philippines","(14.5787048, 121.0528717, 0.0)",14.5787048,121.0528717,0.0
10191,"Nagtahan flyover SB, Philippines",,,,,
10192,"Commonwealth Sandigan EB, Philippines","Centennial Building, Commonwealth Ave.Corner Batasan Road, Quezon City, 1126 Metro Manila, Philippines","(14.687765, 121.087736, 0.0)",14.687765,121.087736,0.0
10193,"EDSA Muñoz SB, Philippines","8001 Epifanio de los Santos Ave, Project 7, Quezon City, 1105 Metro Manila, Philippines","(14.6571184, 121.0210055, 0.0)",14.6571184,121.0210055,0.0
10196,"C5 C.P Garcia Katipunan NB, Philippines","C-5 & C.P. Garcia Ave, Diliman, Quezon City, 1800 Metro Manila, Philippines","(14.6482894, 121.0743128, 0.0)",14.6482894,121.0743128,0.0
10197,"EDSA Shaw tunnel NB, Philippines","Mayaman, Diliman, Lungsod Quezon, Kalakhang Maynila, Philippines","(14.6464689, 121.0521788, 0.0)",14.6464689,121.0521788,0.0
10198,"Elliptical after Quezon ave, Philippines",,,,,
10199,"EDSA Extension in front hotel 101, Philippines","EDSA Extension, Mall of Asia Complex, Pasay, 1300 Metro Manila, Philippines","(14.535781, 120.987995, 0.0)",14.535781,120.987995,0.0
10201,"EDSA Ortigas flyover SB, Philippines","4rd Floor, Building 1, Eton Cyberpod Corinthian, Ortigas Avenue, corner EDSA, Quezon City, 1110 Metro Manila, Philippines","(14.5923779, 121.0598125, 0.0)",14.5923779,121.0598125,0.0
10202,"EDSA Shaw NB, Philippines","Shaw Boulevard, Ortigas Center, Mandaluyong, Metro Manila, Philippines","(14.5812485, 121.0536577, 0.0)",14.5812485,121.0536577,0.0
10203,"Ortigas Wilson EB, Philippines","Robinsons Cyberscape Gamma, Ruby Rd, Ortigas Center, Pasig, 1605 Metro Manila, Philippines","(14.5878567, 121.0607348, 0.0)",14.5878567,121.0607348,0.0
10204,"EDSA SM North NB, Philippines","Unit 21 H LGF SM City Center, SM City North EDSA, North Avenue corner EDSA Lower Ground Floor Near the FoodCourt and SM Appliance, Bagong Pag-asa, Quezon City, 1105 Metro Manila, Philippines","(14.6566478, 121.0314804, 0.0)",14.6566478,121.0314804,0.0
10206,"EDSA Quezon Ave. WB, Philippines","26th Floor, One Global Place, 25th St, Taguig, 1634 Kalakhang Maynila, Philippines","(14.5483194, 121.0470468, 0.0)",14.5483194,121.0470468,0.0
10207,"Nagtahan ilalim SB, Philippines","Nagtahan St, Santa Mesa, Manila, Metro Manila, Philippines","(14.5986831, 121.000435, 0.0)",14.5986831,121.000435,0.0
10208,"MIA Imelda EB, Philippines",,,,,
10210,"EDSA Ortigas POEA SB, Philippines","Ortigas Avenue, Blas F. Ople Building, corner Epifanio de los Santos Ave, Mandaluyong, Metro Manila, Philippines","(14.5930233, 121.0578696, 0.0)",14.5930233,121.0578696,0.0
10211,"C5 Bagong Ilog SB, Philippines","C-5, Pasig, Metro Manila, Philippines","(14.5643396, 121.0696684, 0.0)",14.5643396,121.0696684,0.0
10216,"EDSA Shaw int. SB, Philippines","Harvard, Mandaluyong, Metro Manila, Philippines","(14.5822941, 121.0529863, 0.0)",14.5822941,121.0529863,0.0
10218,"EDSA Guadalupe SB, Philippines","Tan Hock Bldg. Edsa, Cor P.Burgos, St, Makati, Kalakhang Maynila, Philippines","(14.5652663, 121.0453941, 0.0)",14.5652663,121.0453941,0.0
10219,"EDSA Santolan NB, Philippines","Mayaman, Diliman, Lungsod Quezon, Kalakhang Maynila, Philippines","(14.6464689, 121.0521788, 0.0)",14.6464689,121.0521788,0.0
10220,"EDSA Guadalupe Loading bay SB, Philippines","Guadalupe, ext.cembo Guadalupe 1212, Guijo, Makati, Metro Manila, Philippines","(14.5667504, 121.0454767, 0.0)",14.5667504,121.0454767,0.0
10221,"EDSA Main Ave. SB, Philippines","37 EDSA corner Boni Avenue, 37 Epifanio de los Santos Ave, Mandaluyong, 1550 Metro Manila, Philippines","(14.5721142, 121.0468128, 0.0)",14.5721142,121.0468128,0.0
10222,"EDSA Main Ave.  SB, Philippines","37 EDSA corner Boni Avenue, 37 Epifanio de los Santos Ave, Mandaluyong, 1550 Metro Manila, Philippines","(14.5721142, 121.0468128, 0.0)",14.5721142,121.0468128,0.0
10224,"EDSA MRT Santolan NB, Philippines","Santolan-Annapolis, Epifanio de los Santos Ave, Quezon City, Metro Manila, Philippines","(14.6078175, 121.0564144, 0.0)",14.6078175,121.0564144,0.0
10226,"Quezon Ave, Agham WB, Philippines","2nd Flr. Doctor's Clinic Quezon Avenue, cor Agham Rd, Diliman, Quezon City, 1101 Metro Manila, Philippines","(14.6476963, 121.0411248, 0.0)",14.6476963,121.0411248,0.0
10227,"EDSA Main Ave, SB, Philippines","37 EDSA corner Boni Avenue, 37 Epifanio de los Santos Ave, Mandaluyong, 1550 Metro Manila, Philippines","(14.5721142, 121.0468128, 0.0)",14.5721142,121.0468128,0.0
10228,"C5 Libis F/O SB, Philippines","C-5, Metro Manila, Philippines","(14.5588814, 121.0649006, 0.0)",14.5588814,121.0649006,0.0
10229,"EDSA Main Ave, SB, Philippines","37 EDSA corner Boni Avenue, 37 Epifanio de los Santos Ave, Mandaluyong, 1550 Metro Manila, Philippines","(14.5721142, 121.0468128, 0.0)",14.5721142,121.0468128,0.0
10232,"EDSA Guadalupe SB, Philippines","Tan Hock Bldg. Edsa, Cor P.Burgos, St, Makati, Kalakhang Maynila, Philippines","(14.5652663, 121.0453941, 0.0)",14.5652663,121.0453941,0.0
10233,"Mia Quirino EB, Philippines","Quirino, Philippines","(16.2700424, 121.5370003, 0.0)",16.2700424,121.5370003,0.0
10235,"EDSA Monte SB, Philippines","8001-A. North, Epifanio de los Santos Ave, Project 7, Quezon City, 1105 Metro Manila, Philippines","(14.657141, 121.020709, 0.0)",14.657141,121.020709,0.0
10236,"EDSA MRT Santolan NB, Philippines","Santolan-Annapolis, Epifanio de los Santos Ave, Quezon City, Metro Manila, Philippines","(14.6078175, 121.0564144, 0.0)",14.6078175,121.0564144,0.0
10237,"EDSA Estrella SB, Philippines","Epifanio de los Santos Avenue & Estrella, Makati, Metro Manila, Philippines","(14.5599457, 121.0406986, 0.0)",14.5599457,121.0406986,0.0
10238,"EDSA Ayala SB, Philippines","Ayala, Station Dr, Makati, Metro Manila, Philippines","(14.5491906, 121.0279696, 0.0)",14.5491906,121.0279696,0.0
10239,"C3 A.Boni SB, Philippines",,,,,
10240,"Osmerña San Andres NB, Philippines",,,,,
10242,"Commonwealth Feria WB, Philippines","26th Floor, One Global Place, 25th St, Taguig, 1634 Kalakhang Maynila, Philippines","(14.5483194, 121.0470468, 0.0)",14.5483194,121.0470468,0.0
10243,"EDSA A. De Jesus SB, Philippines","474 Edsa corner B. Serrano & A, Gregorio de Jesus, Sts, Caloocan, 1403 Metro Manila, Philippines","(14.5770081, 121.0504311, 0.0)",14.5770081,121.0504311,0.0
10244,"Commonwealth Luzon WB, Philippines","Diliman Commercial Center, 170 Commonwealth Ave, Quezon City, 1126 Metro Manila, Philippines","(14.6818872, 121.0854878, 0.0)",14.6818872,121.0854878,0.0
10246," EDSA Estrella SB, Philippines","Epifanio de los Santos Avenue & Estrella, Makati, Metro Manila, Philippines","(14.5599457, 121.0406986, 0.0)",14.5599457,121.0406986,0.0
10248,"Commonwealth T.Sora EB, Philippines","Commonwealth Avenue, U.P. Campus , University of the Philippines , 1101 Quezon City , Metro Manila, New Era, Quezon City, Metro Manila, Philippines","(14.663621, 121.066906, 0.0)",14.663621,121.066906,0.0
10250,"EDSA Kamias NB, Philippines","#3 Corner Edsa Barangay Pinyahan, Diliman, Quezon City, Metro Manila, Philippines","(14.6311048, 121.0461712, 0.0)",14.6311048,121.0461712,0.0
10251,"EDSA Starmall SB, Philippines","Harvard, Mandaluyong, Metro Manila, Philippines","(14.5822941, 121.0529863, 0.0)",14.5822941,121.0529863,0.0
10252,"Aurora Katipunan WB, Philippines","Katipunan, Aurora Blvd, Project 4, Quezon City, Metro Manila, Philippines","(14.6307723, 121.0727009, 0.0)",14.6307723,121.0727009,0.0
10253,"C5 Bagong Ilog F/O NB, Philippines","C-5, Pasig, Metro Manila, Philippines","(14.5643396, 121.0696684, 0.0)",14.5643396,121.0696684,0.0
10255,"EDSA White Plains NB, Philippines","Ortigas Ave, Ortigas Center, Quezon City, Metro Manila, Philippines","(14.5910279, 121.0603914, 0.0)",14.5910279,121.0603914,0.0
